id,userId,courseName,courseRating,quizRating,instructorRating,contentRating,satisfaction
f4ce8042-5f98-4aa2-ae06-b458c81abb3d,1b422d58-2190-4e01-a583-48dabe84cf64,Self-enabling reciprocal portal,5,4,2,5,5
cdbd224d-4486-4c87-bd07-893ce31131ef,d8d4e09c-833c-4c91-a4b3-fddf6218f168,Balanced human-resource groupware,1,5,1,3,1
27e24567-bf4d-41bf-98a8-902ecbc55e23,1dcb851f-1629-455e-8010-5f101661d8a1,Versatile bottom-line protocol,1,1,3,4,5
54ab7751-93e9-4d32-8f29-f2e9e0e9f832,40cfae1b-92e4-4103-825d-7042c107500b,Compatible 24/7 system engine,3,1,1,1,5
56992725-57e3-4614-9d2b-c5a53224335c,e9d9aea6-8b2e-4f5a-8b70-289ca86b4e91,Proactive tertiary implementation,3,3,2,2,2
15c55d51-f755-49b6-9d6e-6c0ecd4e1b87,2f23f4fe-f67b-468a-802b-60d6170d586b,Integrated non-volatile leverage,5,1,2,5,1
558748e2-629d-4665-8c0a-b1dd44a61490,9bef853d-02f7-4f7c-8064-1aeaf1e359e4,Face-to-face coherent approach,5,4,4,1,5
b0755ce2-4627-49b2-9b17-39b0ef51f784,ff810218-0960-426b-b268-0c1eddb20723,Fundamental leadingedge open architecture,2,2,4,2,2
8a939afb-f0b7-4c5e-812f-fc6703ee0393,9d2a91cd-b48d-4b15-8fb0-e9bb46d408dc,Centralized cohesive intranet,5,4,3,2,5
6c89cf28-a999-4851-b4f3-ca82ea4a8ea5,5abcfb12-338d-42ba-b1dd-53ef485d23d9,Centralized scalable Graphical User Interface,4,4,5,4,3
63c69311-a413-4b13-9601-f499fd990e0c,1c196597-1772-4701-ae69-a3224307dc56,Operative context-sensitive synergy,2,3,3,5,1
12dc47d0-0bd0-46b8-a7a0-6030ab0eeee6,c6dfce7a-180e-4283-b465-1475c262954b,Down-sized zero tolerance protocol,1,2,3,3,5
64f105a5-e308-4980-ada0-d3e79b34b368,07db4bc9-fec0-4a8b-87b3-8e64b79276ed,Balanced encompassing encoding,3,2,2,2,5
602e6d54-dbf2-4619-89f9-73e89e300e1f,59c59745-9f6e-4202-bc70-333c8b393361,Programmable eco-centric Graphic Interface,3,3,1,3,4
3f18ac07-9929-4804-9c74-854b76cdc713,1ac500b3-8255-4778-a81c-e10232bfa39a,Multi-channeled tertiary focus group,1,4,5,3,1
8572b1d6-1ab0-4221-8b1a-621c438be4d0,b6cb44f3-ddcf-46b6-a3cc-b4b9b21d4c03,Stand-alone clear-thinking toolset,4,5,3,4,3
8d77a425-f718-4eb1-813f-0c1e620a28e4,ead9a91a-c6a3-4bd2-9a5f-4ed0cc84f5a3,Quality-focused coherent protocol,1,4,1,4,4
a4045155-4270-4131-bb4c-5ba98422549f,8765a4fd-75ff-46bf-89fd-ef622cdc7ec8,Exclusive multimedia protocol,3,3,3,1,5
e4d72713-ddb9-45d9-bb9a-a453ef99fe3f,bee4ae04-d428-46f9-89d4-27312873b3ec,Proactive heuristic workforce,5,2,5,1,4
a8537ffe-1a78-4e04-bb8a-037d2ece4590,722d0942-4bcc-42e0-aa5e-9a3b7b5ce2b9,User-friendly bottom-line data-warehouse,3,5,4,5,2
