,id,category,createdAt
0,cf308f13-d342-4e2a-b96a-a3ba6022d45b,Design,2013-10-05 05:05:08
1,bb82124f-91a8-4b2d-8165-9815a3a2b354,Electronics,1984-11-09 06:48:00
2,9cd7433b-80b1-417b-b3bf-20cb394d8029,Design,1997-04-07 17:35:00
3,e203fca1-5a8a-450a-961f-2629a1c61a8a,Mobile App Development,2015-09-14 23:52:57
4,bf94ba1b-cc5d-4141-b6d5-c0e9dff7040f,Electronics,2009-04-05 02:41:16
5,ebe5c5d3-1cb1-4647-8543-060235fd4bdb,Mobile App Development,2008-10-20 06:57:06
6,ea720a6d-56c5-4ac9-bf58-1dd0b018ddc0,Design,2019-01-02 02:01:37
7,735c70a1-ce37-444c-a4a4-12ba48a7872e,Design,2012-12-27 20:19:31
8,f39320fa-5fa5-4580-a420-a7307651f876,Web Development,1991-11-15 00:37:51
9,a552018c-e7b7-4589-a3cd-8503a6c2fac5,Web Development,2009-07-17 00:25:27
10,c1a5dd5e-2ba7-4fe1-a417-ba7521d414f9,Electronics,2023-11-07 02:06:55
11,9c3a3337-24cf-49ec-96d2-84c42d060228,Web Development,1979-01-29 14:41:46
12,74412000-317c-437c-914f-c97fc5cb8d3c,Web Development,2016-12-21 19:09:32
13,1e7a1e3b-a9ac-43c7-8bc9-3cc9d28065d6,Web Development,2020-04-15 13:39:22
14,952203e7-1f9d-43ba-8dbe-6b581c57c5d9,Programming,2019-10-02 13:11:50
15,e12a199b-6f68-43b5-9aee-ab6f3c51acb2,Mobile App Development,1974-02-12 10:35:19
16,de2a7779-3c38-4bfa-a9a6-34f2d8c14c4c,Electronics,1981-03-09 13:33:33
17,d959bad8-40fc-44df-889d-289675e91597,Design,1995-01-27 10:48:57
18,b197af82-c837-4529-bcf9-546cb8c9da19,Design,2023-09-15 06:06:04
19,9fa1a0e8-da5a-476f-b00c-59d531d71aa8,Design,1985-06-25 20:33:07
20,9be4f1c2-5032-4b7d-93d8-59f2c55517c2,Programming,1979-05-22 11:23:53
