,id,userId,score,attempt,createdAt
0,c6260245-bcf1-4add-97cb-c1fbcf694ee5,db6c98bd-a960-45d0-a667-5ab654bf0b4a,88,1,1998-12-04 17:08:11
1,bc9e5b9d-c226-4ba2-82ae-7fd888a5a009,e8810db8-9f0a-4b5f-a6b5-947511b98fd4,63,2,1987-07-21 16:50:51
2,dae816b5-3f6b-4302-a4e2-f7a36e08c34a,405f6bd7-fb97-40f8-a5d5-b62a5eb95920,68,3,2008-02-09 13:06:41
3,054511f7-889f-4a87-afa7-396289821a5d,598c6dce-f5c8-46f4-80b2-99dee23ea4ed,93,2,1992-05-18 23:27:49
4,5e848cc0-5c9d-426e-9b69-5dd69947e7a0,a9b498ff-4018-4a18-ac1a-3be17e034b5a,89,4,2013-12-31 22:19:00
5,76327ea5-16c7-47d2-92ef-92a8154b4f31,07db4bc9-fec0-4a8b-87b3-8e64b79276ed,54,4,2009-06-12 19:20:50
6,58b003a6-105f-43d1-815d-f6bddf0bdfae,6f4e5663-9c58-45c8-a90b-70ec69b613bc,46,1,1986-03-13 07:02:47
7,8a9264e0-032f-4ee2-aa45-ac7351b956f2,db6c98bd-a960-45d0-a667-5ab654bf0b4a,71,5,2002-10-20 18:37:13
8,409bd86b-0c61-4291-83ac-c4cde18900c1,f2656b17-bb1c-43a4-933c-06951ba2c964,72,5,2022-12-02 17:17:59
9,6275dd9d-572f-4830-b630-b83aeb0c51a8,2bc7aeb8-5e54-4199-b050-d24a4ec9bce1,89,5,2005-10-14 09:19:02
10,a57f6887-8cc1-47a7-ac4a-04b2a7a4c37d,f93ee289-50f6-4130-8efb-1cd3dd25c374,45,1,1993-05-13 16:39:27
11,8e599828-84a1-454a-827c-717ba5d79015,dfcf92f9-3214-4205-81fd-c85681d5ee43,33,5,2008-09-17 18:09:42
12,bffe6861-bb10-42c1-8b1f-7032819021a9,0fda9918-7377-43ea-9cd9-9af07966d33e,3,1,2012-07-29 14:39:45
13,633a0285-88a3-494f-a456-5eaa102c5945,e6b331eb-50db-479d-9792-6d8afeaf1343,14,5,1972-03-10 04:54:40
14,bf5e9466-7b7a-47f1-b4ec-fd62e2e50856,799a6013-2ff1-45a9-b3f8-009d08688d05,90,2,1998-11-19 21:41:38
15,2a2c1af0-29ed-47dc-8a5c-862044d8d70b,1770a96b-49b4-4610-b2c2-3b86e48ad574,78,2,1988-09-26 04:10:12
16,d02e9196-c92a-4da8-96f3-1f447a7d9166,50f0d9b2-7cf7-4ead-83d4-d5180f1a7636,87,1,2022-07-31 14:21:11
17,a2424dbc-5f4e-434c-9656-eb39e7264020,9ce74aba-63f9-4626-8512-3d8a6a272220,88,3,2018-06-17 11:15:49
18,106eb476-c21f-4ce5-b76c-5822a15b0d17,dc47f355-9af9-497a-8819-d103257f5412,85,1,1982-01-14 18:16:54
19,5f8669f2-77f0-46bd-992e-04b0625fc41c,5d269bf9-26a0-46c4-993a-8857d2537d09,98,3,2023-12-31 04:12:48
20,03d9a809-1aa5-4411-afc4-057b648addbf,86dc8fcd-0879-4c89-8459-ab6004e530ae,50,3,2021-02-10 18:38:43
21,dc17edc8-a66d-4848-8dc6-7fc5d1ccc9e8,828f94e9-0ff3-4586-bbe5-6ca3085e765c,34,4,1972-05-09 02:27:25
22,cd997b9b-cbc5-4563-8a05-e92d86aaa752,117c1c5b-37be-4fc6-851e-fb7cf77a74c9,96,3,2017-10-17 02:10:37
23,2d3af305-9456-4656-8a8a-c6e9dbf0e640,befe5505-d8fe-4cc1-a84b-bfbda727fc23,28,4,2009-03-31 01:11:46
24,12844841-e704-4697-b4ea-425fdc669b96,befaa9bf-5f04-40af-8cf7-954317df39f0,31,2,1987-12-09 19:24:04
25,07c4ecda-5b27-4695-967e-b92b67083bb2,70ba352f-d42f-4bac-b82f-3ac34ffe08d1,68,4,2020-10-31 08:25:41
26,00fe8bac-9889-4c78-a8dd-9bfbaf45e7bf,714caf53-5ae3-46c7-b61e-a924528dd734,99,1,1988-02-23 19:47:14
27,3db38b63-7fd6-4ad4-995a-bc396ab82ce3,3af61b72-2de9-4b92-9361-0def5e0fccd3,16,2,2007-07-08 20:07:25
28,00529b76-d9eb-4cc3-a30e-2e76e2a29272,1a341157-d704-40bc-bf2c-873a83721a18,60,5,1975-09-09 16:05:14
29,616adf63-034e-480a-8e98-4f7f01121a72,6409e185-b791-44fd-9be1-ef5c95fc10f2,50,3,2001-11-23 04:02:47
30,2d79d961-54cd-4237-a4f3-dca767a30145,a5839925-6c62-445b-a33e-1567086ea4d3,63,4,2003-11-24 08:36:37
31,da41ce27-bcb7-460c-b884-ed6984efae76,ad074ff4-e34f-4a43-84da-4ca79bf156ee,30,3,2020-01-14 04:31:12
32,84fb6536-7289-4bd1-b745-2be4a279d4cb,117c1c5b-37be-4fc6-851e-fb7cf77a74c9,72,5,2013-08-24 17:01:28
33,cedc8b00-7ba8-4498-a530-68a1340f92e7,2de5c783-5de0-4cd1-9cc9-8404fa66726b,38,5,2001-10-11 15:38:08
34,2ce17065-eb3a-4210-8eca-c3de17f7defb,c9c6625c-ccfa-4168-9a3e-19867fa2097f,45,1,2000-02-24 16:42:59
35,4452df05-ec4e-4a27-b9a1-7a21db21a80a,09656a88-ca87-4ec0-8b74-260d5f549c22,99,3,2008-12-24 03:56:31
36,88a3a14e-4250-4c4c-9597-f3675a9ceef5,1bcc57e2-1ba7-4232-bd3d-5f6cf5fbdd96,66,2,1992-05-09 10:43:02
37,7acfe03e-57df-4dbd-b8b7-46335cfaa88e,6a688760-3bd3-413a-9fd1-2539a0359dd5,64,1,1990-07-01 05:22:11
38,e32667c0-37c9-4322-ac16-d65d61749238,0d391dd0-ceb9-40e3-9459-c14145f35542,78,2,1986-09-01 18:34:28
39,bbcd6b5a-d081-4f54-b32e-f705eca2f472,a9c8b676-a946-4563-8a86-67460cbb470c,2,1,1991-01-28 22:18:40
40,f77d8879-0467-4d99-ade6-76a368574959,722d0942-4bcc-42e0-aa5e-9a3b7b5ce2b9,9,3,1995-06-16 06:44:48
41,7193e6a7-ad27-4996-94c1-7e15de85bcbc,87a90293-82d3-4978-9d19-f0a58054fbbb,1,1,1975-02-07 11:50:37
42,cd97b88d-9542-406e-9fa6-1c9e4933b2f5,6a61f77f-2321-4aeb-84cb-bf97b4a62d0b,14,1,2018-02-27 03:45:02
43,07c97d7c-461d-4ced-8cf0-8d95f2ee0fa3,afc98f5d-3cdf-42df-aab3-0b815f6a003a,71,5,2016-04-10 23:25:40
44,a118c210-8f2e-4d76-a88b-509cd366afe2,5c16cfbb-2791-4787-99b0-fca05b785fa0,49,5,1973-04-14 12:18:32
45,5faea7a9-e11c-45f4-b448-b07615d5c5eb,1403cb45-2abf-49f4-9636-bf5d2ad6a23f,54,1,2002-12-18 10:20:12
46,0a5348e0-2ffa-49ee-b629-7163fc4b7704,9731e68d-6bd1-4064-a197-5a2d687a667e,74,1,1989-11-22 17:54:19
47,84b1e9f1-6681-4887-8459-05d6625126fd,d3af08bf-715f-4e6a-b94d-413e07d1ba33,96,1,1981-05-13 16:26:05
48,33e534b7-c325-40a3-a784-bbea3e89bc86,d14b1a08-4e77-471a-bd34-cc242fcba195,64,3,1992-06-12 23:41:57
49,5c2bafcc-2a9a-410a-b120-e41c8eab14c5,55e9df6a-b61f-47ae-873c-9744797d1af3,45,2,2012-04-09 07:17:17
50,3e9da557-7ef4-442f-856e-624585cd0c7b,d97d6d05-5564-46b0-a124-c6fc64b39689,94,4,2005-04-16 12:08:44
51,8c8c4f9b-610d-4a2c-8943-25260f70771d,696cc855-b533-405e-8855-c462f00d276d,11,3,2001-12-27 02:24:15
52,a8070984-0ab8-4ad8-b7a8-3e41aea5d0a9,8d147b48-5f68-4159-9673-859217932880,50,4,1997-10-07 18:38:18
53,d177ec58-d4d7-45df-a9b6-a4557f08d606,88efc787-8063-449a-8e87-f640476c5ee0,98,3,1970-09-26 08:47:28
